hs2_chapter,sector
01,Animals
02,Animals
03,Animals
04,Animals
05,Animals
06,Vegetables
07,Vegetables
08,Vegetables
09,Vegetables
10,Vegetables
11,Vegetables
12,Vegetables
13,Vegetables
14,Vegetables
15,Fats_Oils
16,Food_Bev
17,Food_Bev
18,Food_Bev
19,Food_Bev
20,Food_Bev
21,Food_Bev
22,Food_Bev
23,Food_Bev
24,Food_Bev
25,Minerals
26,Minerals
27,Minerals
28,Chemicals
29,Chemicals
30,Chemicals
31,Chemicals
32,Chemicals
33,Chemicals
34,Chemicals
35,Chemicals
36,Chemicals
37,Chemicals
38,Chemicals
39,Plastics
40,Plastics
41,Leather
42,Leather
43,Leather
44,Wood_Paper
45,Wood_Paper
46,Wood_Paper
47,Wood_Paper
48,Wood_Paper
49,Wood_Paper
50,Textiles
51,Textiles
52,Textiles
53,Textiles
54,Textiles
55,Textiles
56,Textiles
57,Textiles
58,Textiles
59,Textiles
60,Textiles
61,Textiles
62,Textiles
63,Textiles
64,Footwear
65,Footwear
66,Footwear
67,Footwear
68,Stone_Glass
69,Stone_Glass
70,Stone_Glass
71,Precious
72,Metals
73,Metals
74,Metals
75,Metals
76,Metals
77,Metals
78,Metals
79,Metals
80,Metals
81,Metals
82,Metals
83,Metals
84,Machinery
85,Machinery
86,Transport
87,Transport
88,Transport
89,Transport
90,Instruments
91,Instruments
92,Instruments
94,Misc_Manuf
95,Misc_Manuf
96,Misc_Manuf
